Field_name,Field_locator_name,Field_locator_value,
welcome_login,xpath,//XCUIElementTypeScrollView//XCUIElementTypeOther[2],
welcome_signup,xpath,//XCUIElementTypeOther[3],
mph_logo,xpath,//XCUIElementTypeImage,
login_page_title,xpath,//XCUIElementTypeOther[2]/XCUIElementTypeStaticText,
signup_page_title,xpath,//XCUIElementTypeOther[1]/XCUIElementTypeOther/XCUIElementTypeStaticText[2],
continue,xpath,//XCUIElementTypeOther[3]/XCUIElementTypeButton,
welcome_page_title,xpath,//XCUIElementTypeStaticText,
signup_page_back,xpath,//XCUIElementTypeButton,
signup_first_name,xpath,//XCUIElementTypeOther[2]/XCUIElementTypeOther[1]/XCUIElementTypeOther/XCUIElementTypeTextField,
signup_last_name,xpath,//XCUIElementTypeOther[3]//XCUIElementTypeTextField,
signup_email_id,xpath,//XCUIElementTypeOther[4]//XCUIElementTypeTextField,
signup_phone_number,xpath,//XCUIElementTypeOther[5]//XCUIElementTypeTextField,
signup_password,xpath,//XCUIElementTypeOther[6]//XCUIElementTypeSecureTextField,
signup_confirm_password,xpath,//XCUIElementTypeOther[8]//XCUIElementTypeSecureTextField,
signup_terms_and_conditions,xpath,//XCUIElementTypeOther[10]/XCUIElementTypeOther[2],
signup_firstname_valid_msg,xpath,//XCUIElementTypeScrollView/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther/XCUIElementTypeStaticText[2],
signup_emailid_blank_valid_msg,xpath,//XCUIElementTypeOther[4]/XCUIElementTypeStaticText[2],
signup_lastname_valid_msg,xpath,//XCUIElementTypeOther[3]/XCUIElementTypeStaticText[2],
signup_exist_valid_msg,xpath,//XCUIElementTypeOther[5]/XCUIElementTypeStaticText[2],
signup_apply_button,xpath,//XCUIElementTypeOther[9]/XCUIElementTypeOther[1]/XCUIElementTypeOther/XCUIElementTypeOther,
signup_referral_code_invalid_msg,xpath,//XCUIElementTypeOther[9]/XCUIElementTypeStaticText[2],
signup_emailid_valid_msg,xpath,//XCUIElementTypeOther[4]/XCUIElementTypeStaticText[2],
signup,xpath,//XCUIElementTypeOther[11]/XCUIElementTypeOther/XCUIElementTypeOther,
signup_phonenumber_valid_msg,xpath,//XCUIElementTypeOther[5]/XCUIElementTypeStaticText[2],
password_valid_msg,xpath,//XCUIElementTypeOther[6]/XCUIElementTypeStaticText[2],
passwordstrength_valid_msg,xpath,//XCUIElementTypeOther[7]/XCUIElementTypeStaticText,
passwordmatch_valid_msg,xpath,//XCUIElementTypeOther[8]/XCUIElementTypeStaticText[2],
signup_referral_code,xpath,//XCUIElementTypeOther[9]//XCUIElementTypeTextField,
signup_show_password,xpath,//XCUIElementTypeOther[6]/XCUIElementTypeOther[1]/XCUIElementTypeOther/XCUIElementTypeOther,
